seconds,data
0.0,-64.0338134765625
0.1,-64.75341796875
0.217,-63.4735107421875
0.303,-61.270751953125
0.429,-65.1544189453125
0.489,-66.3299560546875
0.622,-67.7032470703125
0.7,-66.368408203125
0.816,-60.0018310546875
0.917,-61.6058349609375
1.047,-65.775146484375
1.096,-67.0989990234375
1.219,-67.752685546875
1.304,-67.74169921875
1.424,-64.3634033203125
1.52,-63.08349609375
1.634,-64.2425537109375
1.733,-64.4512939453125
1.837,-63.0615234375
1.905,-61.358642578125
2.025,-62.05078125
2.113,-60.5401611328125
2.236,-58.875732421875
2.32,-61.2213134765625
2.446,-64.7808837890625
2.503,-62.962646484375
2.628,-63.599853515625
2.711,-64.7149658203125
2.839,-65.19287109375
2.92,-64.22607421875
3.036,-63.094482421875
3.109,-63.841552734375
3.264,-64.720458984375
3.314,-64.2645263671875
3.438,-65.137939453125
3.526,-65.2587890625
3.648,-64.368896484375
3.735,-65.423583984375
3.857,-63.8580322265625
3.911,-62.742919921875
4.039,-64.9456787109375
4.126,-62.60009765625
4.243,-63.424072265625
4.331,-64.237060546875
4.459,-64.676513671875
4.511,-64.16015625
4.667,-64.676513671875
4.714,-65.4345703125
4.842,-64.5501708984375
4.927,-63.91845703125
5.051,-64.7314453125
5.132,-64.57763671875
5.262,-63.2208251953125
5.32,-63.709716796875
5.443,-63.21533203125
5.536,-64.962158203125
5.655,-62.8582763671875
5.742,-63.753662109375
5.858,-62.611083984375
5.919,-61.69921875
6.064,-61.41357421875
6.127,-62.567138671875
6.255,-61.204833984375
6.341,-61.5289306640625
6.464,-63.446044921875
6.553,-63.753662109375
6.673,-63.599853515625
6.738,-61.336669921875
6.847,-62.369384765625
6.935,-61.5179443359375
7.05,-63.665771484375
7.151,-63.25927734375
7.266,-64.610595703125
7.328,-67.2637939453125
7.476,-67.9888916015625
7.547,-68.192138671875
7.661,-67.2308349609375
7.752,-69.93896484375
7.864,-70.927734375
7.957,-67.4835205078125
8.085,-69.202880859375
8.145,-69.796142578125
8.264,-71.7132568359375
8.351,-70.2081298828125
8.467,-72.00439453125
8.572,-71.1309814453125
8.683,-72.388916015625
8.745,-69.9554443359375
8.89,-69.7412109375
8.956,-70.477294921875
9.083,-68.4283447265625
9.162,-69.32373046875
9.29,-67.4945068359375
9.373,-68.060302734375
9.484,-67.6043701171875
9.564,-65.91796875
9.673,-67.1649169921875
9.771,-68.13720703125
9.887,-67.96142578125
9.976,-68.1317138671875
10.099,-67.1484375
10.151,-68.291015625
10.278,-70.751953125
10.367,-69.7576904296875
10.489,-69.8345947265625
10.578,-72.2625732421875
10.701,-73.6907958984375
10.784,-72.0538330078125
10.913,-67.34619140625
10.956,-67.005615234375
11.082,-67.642822265625
11.185,-66.6156005859375
11.295,-64.9456787109375
11.384,-61.688232421875
11.507,-61.644287109375
11.563,-62.9901123046875
11.681,-66.4892578125
11.778,-65.93994140625
11.891,-67.69775390625
11.983,-66.9287109375
12.105,-68.5052490234375
12.185,-69.8016357421875
12.32,-71.334228515625
12.367,-76.0858154296875
12.479,-77.7008056640625
12.586,-73.9654541015625
12.7,-76.7999267578125
12.797,-80.8209228515625
12.921,-80.562744140625
12.967,-83.0072021484375
13.092,-82.001953125
13.187,-74.7564697265625
13.3,-73.85009765625
13.396,-76.124267578125
13.509,-73.9544677734375
13.608,-74.5477294921875
13.727,-76.5032958984375
13.788,-75.4815673828125
13.902,-78.870849609375
13.988,-78.211669921875
14.108,-79.2279052734375
14.205,-79.2279052734375
14.328,-83.1060791015625
14.374,-80.013427734375
14.495,-79.8321533203125
14.585,-80.914306640625
14.704,-79.947509765625
14.796,-80.540771484375
14.927,-80.6396484375
15.004,-81.8701171875
15.133,-79.7332763671875
15.195,-77.0526123046875
15.307,-71.2298583984375
15.403,-69.873046875
15.52,-71.026611328125
15.604,-71.2078857421875
15.725,-69.993896484375
15.795,-71.2957763671875
15.914,-74.014892578125
16.009,-77.904052734375
16.111,-78.4039306640625
16.215,-76.4154052734375
16.323,-75.9869384765625
16.426,-77.7667236328125
16.546,-78.9752197265625
16.599,-77.135009765625
16.723,-79.2388916015625
16.819,-80.562744140625
16.935,-77.7227783203125
17.025,-72.88330078125
17.132,-72.0977783203125
17.199,-71.2847900390625
17.335,-72.04833984375
17.417,-71.861572265625
17.538,-69.5599365234375
17.627,-66.851806640625
17.745,-69.400634765625
17.833,-69.01611328125
17.954,-69.2303466796875
18.007,-68.785400390625
18.136,-70.81787109375
18.228,-69.6148681640625
18.353,-70.0927734375
18.439,-70.938720703125
18.558,-68.2305908203125
18.606,-67.752685546875
18.731,-64.764404296875
18.827,-61.3970947265625
18.948,-66.33544921875
19.031,-68.2415771484375
19.16,-66.884765625
19.25,-67.401123046875
19.372,-69.32373046875
19.419,-68.79638671875
19.54,-66.005859375
19.623,-66.1761474609375
19.753,-64.248046875
19.846,-63.2757568359375
19.971,-65.0225830078125
20.016,-68.302001953125
20.146,-69.8895263671875
20.232,-70.0872802734375
20.342,-70.8233642578125
20.447,-69.1424560546875
20.565,-67.9998779296875
20.656,-64.7808837890625
20.775,-64.4677734375
20.827,-67.730712890625
20.949,-66.0882568359375
21.045,-66.7254638671875
21.166,-65.533447265625
21.261,-67.247314453125
21.376,-67.6483154296875
21.428,-66.1212158203125
21.549,-67.6043701171875
21.636,-69.3402099609375
21.769,-68.00537109375
21.844,-65.313720703125
21.964,-64.2041015625
22.065,-65.1763916015625
22.181,-60.128173828125
22.237,-62.8472900390625
22.359,-64.390869140625
22.44,-66.148681640625
22.566,-66.6705322265625
22.651,-63.69873046875
22.783,-65.7257080078125
22.844,-67.5054931640625
22.96,-65.665283203125
23.052,-64.720458984375
23.172,-62.962646484375
23.259,-64.3414306640625
23.381,-66.785888671875
23.469,-64.57763671875
23.591,-62.2869873046875
23.646,-64.2205810546875
23.766,-65.7916259765625
23.864,-64.57763671875
23.983,-60.963134765625
24.063,-68.104248046875
24.191,-68.9117431640625
24.255,-63.2318115234375
24.379,-65.2203369140625
24.468,-64.22607421875
24.585,-67.25830078125
24.675,-58.480224609375
24.784,-55.6842041015625
24.894,-61.5948486328125
24.999,-60.238037109375
25.053,-59.9468994140625
25.187,-63.9239501953125
25.266,-62.8143310546875
25.392,-63.4625244140625
25.487,-61.3201904296875
25.611,-63.3526611328125
25.656,-60.0457763671875
25.787,-61.512451171875
25.873,-61.94091796875
25.993,-58.6505126953125
26.09,-52.55859375
26.211,-58.5626220703125
26.296,-56.1346435546875
26.415,-62.0123291015625
26.47,-65.19287109375
26.596,-64.2645263671875
26.673,-62.8857421875
26.8,-64.698486328125
26.896,-65.7806396484375
27.012,-62.545166015625
27.067,-61.3531494140625
27.195,-62.40234375
27.278,-69.1644287109375
27.408,-54.788818359375
27.488,-62.8472900390625
27.616,-63.533935546875
27.702,-62.90771484375
27.827,-64.70947265625
27.879,-65.863037109375
27.992,-66.2310791015625
28.09,-65.1763916015625
28.216,-65.401611328125
28.303,-64.281005859375
28.434,-63.929443359375
28.475,-64.522705078125
28.593,-64.3304443359375
28.692,-65.0775146484375
28.81,-62.7978515625
28.896,-66.1376953125
29.021,-64.3634033203125
29.116,-65.665283203125
29.235,-60.5511474609375
29.297,-62.8802490234375
29.416,-63.094482421875
29.505,-62.5067138671875
29.621,-62.6275634765625
29.707,-64.896240234375
29.824,-61.6058349609375
29.885,-62.589111328125
30.002,-64.720458984375
30.097,-63.5284423828125
30.223,-61.36962890625
30.308,-62.940673828125
30.435,-65.7366943359375
30.519,-66.3079833984375
30.639,-63.80859375
30.706,-63.8800048828125
30.818,-63.0120849609375
30.91,-62.90771484375
31.029,-66.873779296875
31.113,-66.708984375
31.237,-70.6805419921875
31.307,-72.3175048828125
31.413,-70.8123779296875
31.519,-65.2423095703125
31.62,-66.3958740234375
31.731,-65.906982421875
31.836,-64.7259521484375
31.926,-68.79638671875
32.059,-66.961669921875
32.105,-61.402587890625
32.228,-50.5206298828125
32.33,-62.75390625
32.438,-60.963134765625
32.536,-63.45703125
32.65,-66.6705322265625
32.714,-67.87353515625
32.84,-65.0006103515625
32.92,-66.26953125
33.044,-64.0008544921875
33.13,-65.06103515625
33.257,-64.259033203125
33.351,-66.37939453125
33.462,-64.92919921875
33.531,-63.34716796875
33.65,-64.1162109375
33.73,-61.4520263671875
33.856,-63.5888671875
33.943,-65.390625
34.072,-69.1534423828125
34.124,-66.280517578125
34.25,-64.62158203125
34.334,-65.36865234375
34.457,-62.7978515625
34.547,-64.48974609375
34.668,-64.9346923828125
34.754,-50.6744384765625
34.88,-61.512451171875
34.931,-60.3753662109375
35.059,-62.6385498046875
35.146,-63.4954833984375
35.261,-61.732177734375
35.34,-61.182861328125
35.47,-64.0887451171875
35.531,-64.16015625
35.647,-65.2752685546875
35.744,-67.862548828125
35.864,-67.027587890625
35.952,-65.511474609375
36.07,-63.336181640625
36.125,-64.852294921875
36.287,-64.27001953125
36.333,-62.8253173828125
36.454,-63.7152099609375
36.551,-66.851806640625
36.675,-68.038330078125
36.76,-64.0008544921875
36.884,-62.8253173828125
36.942,-63.9019775390625
37.068,-61.2213134765625
37.152,-63.720703125
37.273,-63.6053466796875
37.354,-61.787109375
37.477,-62.42431640625
37.536,-62.2869873046875
37.694,-62.5341796875
37.748,-62.435302734375
37.877,-59.6502685546875
37.952,-59.7930908203125
38.081,-61.10595703125
38.168,-60.2490234375
38.296,-60.040283203125
38.352,-62.1826171875
38.468,-62.0343017578125
38.555,-62.38037109375
38.684,-61.512451171875
38.769,-61.36962890625
38.893,-61.7156982421875
38.949,-64.083251953125
39.095,-64.2919921875
39.162,-63.8140869140625
39.273,-61.6278076171875
39.376,-61.63330078125
39.483,-61.3751220703125
39.582,-62.193603515625
39.693,-61.226806640625
39.762,-63.555908203125
39.887,-64.16015625
39.976,-66.6156005859375
40.08,-69.136962890625
40.184,-67.9449462890625
40.289,-64.248046875
40.37,-65.1214599609375
40.509,-62.90771484375
40.577,-63.753662109375
40.698,-61.7486572265625
40.791,-65.4620361328125
40.904,-65.54443359375
40.999,-63.1494140625
41.107,-62.874755859375
41.174,-63.9239501953125
41.302,-61.2982177734375
41.387,-64.9676513671875
41.515,-65.1324462890625
41.592,-64.632568359375
41.716,-66.478271484375
41.762,-66.258544921875
41.921,-62.1441650390625
41.983,-63.08349609375
42.104,-65.126953125
42.194,-62.962646484375
42.316,-62.9022216796875
42.403,-63.4844970703125
42.529,-63.8580322265625
42.577,-64.27001953125
42.709,-65.093994140625
42.79,-66.181640625
42.918,-67.3681640625
43.001,-66.708984375
43.127,-63.8800048828125
43.18,-62.86376953125
43.306,-63.43505859375
43.398,-64.4732666015625
43.516,-65.7476806640625
43.6,-66.2530517578125
43.724,-65.797119140625
43.811,-65.4345703125
43.944,-65.3082275390625
43.985,-67.247314453125
44.115,-66.741943359375
44.204,-66.719970703125
44.321,-65.7861328125
44.412,-66.7913818359375
44.541,-65.0390625
44.584,-63.3087158203125
44.716,-65.2752685546875
44.798,-65.2752685546875
44.929,-64.7589111328125
45.015,-65.41259765625
45.133,-68.148193359375
45.224,-65.1708984375
45.345,-65.181884765625
45.398,-65.3741455078125
45.513,-62.77587890625
45.61,-62.874755859375
45.736,-64.00634765625
45.823,-64.764404296875
45.944,-64.8577880859375
46.002,-64.1107177734375
46.116,-65.2752685546875
46.21,-63.08349609375
46.335,-64.7149658203125
46.415,-62.81982421875
46.541,-63.6328125
46.624,-64.061279296875
46.747,-65.0225830078125
46.818,-65.0830078125
46.922,-66.4727783203125
47.033,-68.1097412109375
47.137,-64.2919921875
47.224,-65.478515625
47.347,-66.11572265625
47.422,-66.4288330078125
47.535,-67.2198486328125
47.628,-64.2864990234375
47.741,-65.0115966796875
47.832,-62.8363037109375
47.944,-62.6934814453125
48.039,-64.7039794921875
48.156,-64.7314453125
48.224,-64.7149658203125
48.351,-63.17138671875
48.439,-65.467529296875
48.561,-66.33544921875
48.65,-64.2755126953125
48.756,-65.1708984375
48.823,-62.852783203125
48.947,-65.2972412109375
49.033,-64.5721435546875
49.164,-64.324951171875
49.247,-64.588623046875
49.374,-64.281005859375
49.457,-65.126953125
49.576,-67.5274658203125
49.622,-63.8470458984375
49.755,-62.7923583984375
49.851,-63.775634765625
49.962,-63.0340576171875
50.056,-66.170654296875
50.176,-62.6715087890625
50.232,-63.369140625
50.356,-63.072509765625
50.451,-63.2098388671875
50.553,-62.633056640625
50.645,-61.3201904296875
50.764,-65.1324462890625
50.865,-65.01708984375
50.988,-63.1439208984375
51.034,-63.03955078125
51.157,-63.072509765625
51.255,-63.5833740234375
51.381,-63.61083984375
51.468,-64.072265625
51.587,-65.5828857421875
51.633,-65.1434326171875
51.755,-63.995361328125
51.84,-63.03955078125
51.976,-63.10546875
52.065,-64.3084716796875
52.185,-66.5277099609375
52.271,-65.2532958984375
52.398,-65.906982421875
52.448,-67.8460693359375
52.57,-67.8900146484375
52.66,-67.1429443359375
52.779,-66.1651611328125
52.874,-64.0228271484375
52.984,-64.4183349609375
53.038,-66.2860107421875
53.159,-65.7366943359375
53.249,-65.6268310546875
53.381,-65.731201171875
53.465,-65.994873046875
53.591,-64.3853759765625
53.672,-62.90771484375
53.798,-65.830078125
53.854,-66.6375732421875
53.975,-66.5716552734375
54.061,-64.654541015625
54.188,-67.686767578125
54.279,-64.5941162109375
54.398,-66.104736328125
54.466,-65.7586669921875
54.573,-65.467529296875
54.673,-65.269775390625
54.781,-65.3192138671875
54.868,-67.620849609375
54.999,-65.8905029296875
55.09,-65.6817626953125
55.21,-66.0003662109375
55.267,-68.1866455078125
55.383,-67.060546875
55.48,-66.708984375
55.59,-67.1923828125
55.691,-66.005859375
55.807,-67.6812744140625
55.87,-68.1317138671875
55.992,-67.9559326171875
56.093,-66.02783203125
56.208,-66.7584228515625
56.293,-67.3846435546875
56.405,-67.972412109375
56.504,-67.8460693359375
56.617,-65.4840087890625
56.674,-66.5496826171875
56.808,-64.3853759765625
56.895,-64.53369140625
57.02,-66.20361328125
57.103,-65.533447265625
57.227,-66.77490234375
57.276,-66.390380859375
57.411,-65.731201171875
57.497,-64.6051025390625
57.619,-65.291748046875
57.702,-65.1104736328125
57.83,-63.25927734375
57.912,-62.9791259765625
58.037,-62.666015625
58.086,-63.9569091796875
58.22,-63.78662109375
58.305,-60.1226806640625
58.435,-60.7928466796875
58.514,-59.23828125
58.637,-60.523681640625
58.691,-63.182373046875
58.803,-67.6318359375
58.909,-67.8955078125
59.034,-68.0108642578125
59.112,-67.0220947265625
59.242,-67.510986328125
59.322,-65.5224609375
59.445,-66.6375732421875
59.495,-69.5269775390625
59.619,-65.41259765625
59.707,-66.3079833984375
59.835,-67.6043701171875
59.916,-65.5718994140625
60.044,-64.4842529296875
60.098,-64.478759765625
60.228,-67.7471923828125
60.318,-66.8243408203125
60.427,-65.775146484375
60.518,-66.46728515625
60.647,-64.588623046875
60.741,-65.0775146484375
